Unnamed: 0,subject_hash,project,hip_flexion_median,hip_adduction_median,hip_rotation_median,knee_angle_median,ankle_angle_median,lumbar_extension_median,lumbar_bending_median,lumbar_rotation_median,neck_extension_median,neck_bending_median,neck_rotation_median,arm_flex_median,arm_add_median,elbow_flex_median,All_median,RTE (cm),pelvis_tilt_mean,pelvis_list_mean,pelvis_rotation_mean,hip_flexion_r_mean,hip_adduction_r_mean,hip_rotation_r_mean,knee_angle_r_mean,ankle_angle_r_mean,subtalar_angle_r_mean,hip_flexion_l_mean,hip_adduction_l_mean,hip_rotation_l_mean,knee_angle_l_mean,ankle_angle_l_mean,subtalar_angle_l_mean,lumbar_extension_mean,lumbar_bending_mean,lumbar_rotation_mean
23,HGDofbPaujeS7OX3,LLPU,4.145509038432016,1.1229263218409378,1.753598775764941,3.500278569900659,5.091683191322835,2.285937102929976,0.7523476315935789,1.137603651315355,6.6375812505129765,1.4453703744905426,3.582377016837389,6.877460909258409,0.9860820944375572,2.8959062929843187,2.342013382902604,,1.1456743,0.9937205,1.4392805,4.5285783,1.4538349,2.2419503,7.7053094,6.6734657,20.005312,4.9829793,1.3191018,2.0664842,3.024184,5.216026,2.7952042,2.4139721,0.92585665,1.3584639
24,HGDofbPaujeS7OX3,LLPU,7.514102841795298,2.4654519766776595,3.2677674046092005,4.6480120320853775,3.292009453520868,3.1530992006152645,1.5082472817206816,1.996127907578104,3.1847195613778387,2.299630778442205,2.3637713773905027,3.4382557564818885,2.5508989238549886,4.4258003651754745,3.156533505107312,10.665445327758787,2.6657093,5.022297,8.424607,13.34039,4.102463,4.8614955,7.8388567,5.1286054,8.881682,12.121321,3.3160548,3.5630755,3.8912292,4.3523264,7.6941447,8.823078,2.01978,2.519775
25,HGDofbPaujeS7OX3,LLPU,5.095936264741637,2.0221274495405805,3.613691726634605,3.055685762012073,3.1477033511709545,2.5681242340549373,2.0529123927902977,1.9072748304390543,2.1601284335129263,2.3254670361948366,3.8184718970089886,2.8366253736304854,2.0323390092365727,2.583170713909652,2.7465462775354186,14.977506637573242,3.2949793,2.13129,9.478666,12.222412,2.8568382,4.499299,4.1323304,2.9712603,5.394833,11.371283,2.665112,4.056333,4.196816,4.817917,4.5222406,9.22896,2.04575,2.232832
26,HGDofbPaujeS7OX3,LLPU,2.72114053514391,0.417851976957751,2.74321143767316,7.624958519571897,0.6236539009432861,2.147530149588838,0.2825133793795351,0.1763108213358597,3.593624630853108,2.5697946421938287,0.914914084606963,3.824734753591067,0.5513055490467492,11.119911676354064,2.185658399969965,,0.6638327,0.1772758,0.53489876,3.2441735,0.5733347,4.626584,16.661366,1.2588451,5.059301,2.203621,0.22636385,0.95754653,4.5506535,0.8604105,4.3053236,2.0151153,0.36228946,0.2739195
27,HGDofbPaujeS7OX3,LLPU,2.700378894501187,0.4010165211490216,2.6499249274325374,11.163838330453704,1.1520992337248257,1.6636705841618489,0.4265015577679259,0.4491544137588021,2.999610762699915,1.5444324500046456,1.893614878985852,2.8216851885947287,0.6309720217521317,9.388223080229464,1.559130056603161,,0.3193606,0.13973317,0.2974106,4.543399,0.6010517,4.8585005,16.593185,0.6972134,5.8821163,0.93481123,0.28101316,0.93589586,4.4063473,1.4958166,3.6306498,1.6899245,0.43808168,0.44783685
28,HGDofbPaujeS7OX3,LLPU,3.984208571653464,1.3868394952849414,3.3969296969087264,8.72140024929758,2.390826397023158,2.869984871310474,1.061216309741813,2.349401940037265,2.839236213440723,1.6271959866118058,3.198101182622363,1.831286414601724,1.2497427643256818,10.053205175180029,2.694528410590248,3.762787103652954,2.2640843,1.2860492,2.146756,4.8162084,1.7988542,4.5115848,11.562332,3.688241,8.545736,3.9424124,1.8829997,3.0398467,7.690223,3.3038158,3.7697139,3.1350725,1.3359168,2.3118753
29,HGDofbPaujeS7OX3,LLPU,3.6915110600563215,1.6043576482962814,3.091757698566203,7.015205334250056,2.942257664239318,2.0538498362538817,0.8528483690624687,1.431182150593722,1.626614673480414,1.6417917807030056,2.15418275384043,1.8815267248153988,1.423190295656278,9.183783565539937,2.3456329562758875,2.625420570373535,2.2160985,1.3637861,1.703181,5.880002,1.8799675,4.3046203,9.06515,4.2333007,7.5441017,3.6809287,1.7971667,3.0655673,7.786605,3.5483713,3.3815358,2.3837364,1.2473491,1.8805392
30,yGYGRfMQJHVXXMQO,LLPU,2.737008772133142,1.5127374907697304,2.5350417859231578,4.485225999162347,4.97324856488846,1.7758943274848609,1.0855408545320495,1.3323736458525557,3.144436813200396,3.4546354038852254,2.0314515115312943,4.096078105634986,1.610335771367335,2.936750824220995,2.5964498823166267,,12.107548,1.6862512,1.664854,3.254533,2.106855,2.5628073,4.4819474,4.940655,3.1474917,3.3355386,1.5760496,2.7621012,5.754969,5.554808,3.4068937,2.237559,1.4010316,1.674582
31,yGYGRfMQJHVXXMQO,LLPU,3.281820518826501,1.5495246761960075,1.9843505270148865,4.378827019819181,4.435346835201037,1.6521864748461188,1.0967024508529084,1.6368601706788448,4.592788671985355,2.622916865350426,2.424522068076358,5.375769115037059,1.2712386503041813,2.82442494822555,2.456200058560054,,8.172039,1.4223281,1.8577273,2.8077826,1.8485228,2.4730763,4.4109716,3.855675,3.1269524,4.2777615,1.644165,2.0927777,5.239359,5.7524853,4.4159727,1.9328316,1.3329204,1.7267363
32,yGYGRfMQJHVXXMQO,LLPU,10.328034911908416,2.8029139077648297,3.773399051789251,8.956871874707417,6.351608060153713,2.4836480275133965,2.00608589650116,4.595490438688918,5.852605538449982,5.647447146350309,6.38623882679297,7.039449090709017,3.246389339393884,6.928229705359114,5.02742690604547,,21.574053,1.5213265,2.1354232,11.419477,3.9585218,4.664913,14.90145,6.326612,5.698173,13.639861,3.104956,3.8276556,17.719774,8.929526,6.215646,2.7538009,2.077484,5.829754
33,yGYGRfMQJHVXXMQO,LLPU,2.9771215110840017,1.6604919848768542,2.9174732556188685,4.258717716377684,5.431631951598124,1.864958820323064,1.1759007354350277,1.6592190083702931,6.4541010250652775,3.103472326766421,2.532563067584677,4.906966701635363,1.7703551507896862,3.647963481455613,2.8511591624106263,,8.166727,1.1727638,2.0864372,2.8900971,2.0722644,3.3735912,4.446352,4.8140845,3.5767007,4.052482,1.7589816,2.7267792,5.668521,7.0766373,4.566769,2.4064217,1.364675,2.0172133
34,yGYGRfMQJHVXXMQO,LLPU,3.201217456431181,1.7624287162578864,2.8660058592321187,4.774437979848667,5.3570659226554485,1.922011817347003,1.4198840572111688,2.0147017532523077,4.618735279981764,2.740453962239179,3.150682380866138,5.2739391053618085,1.720184850015004,3.5936656119881274,2.8299608165478456,,7.624532,1.1748469,1.8743209,2.6404688,2.1256862,3.3306224,4.919793,5.284877,4.341955,5.05524,1.8985239,2.822949,6.2059793,7.319004,4.952178,2.1291394,1.5198256,2.4319043
35,inE8D0tKfI0ndXex,LLPU,3.054855253697682,1.551761883314304,1.86474665757197,3.6596298714448174,3.908742238400816,2.132094775838256,0.99905518499235,1.3019595605304293,6.778721560182589,0.9994065128477826,1.138400435570719,1.932327537427838,1.20657853009214,4.980957287140465,2.074781804739032,,19.073973,1.888229,1.6509802,3.1852841,1.854982,1.6844752,6.7147326,4.967162,3.9554162,4.153899,1.6572253,2.4474819,3.916361,5.852049,2.7633402,2.377913,1.182984,1.5762514
36,inE8D0tKfI0ndXex,LLPU,3.744214934126256,2.162361265041286,2.360327254501524,4.449135706474824,4.547762784316161,1.7832415833193846,1.5713454230469055,1.7963064545411498,2.83045173639444,0.6763094300805012,1.3011264908950992,2.3145385200794046,0.77063402235326,4.2595842966286295,2.265419641550081,,3.1301785,1.1868069,1.7624687,4.148656,2.8259318,2.447935,5.8258414,6.2382464,4.7545457,4.4703703,2.0900154,3.0326142,6.1254,5.8768845,4.3261847,2.0460176,1.8812127,2.0066502
