Unnamed: 0,subject_hash,project,hip_flexion_median,hip_adduction_median,hip_rotation_median,knee_angle_median,ankle_angle_median,lumbar_extension_median,lumbar_bending_median,lumbar_rotation_median,neck_extension_median,neck_bending_median,neck_rotation_median,arm_flex_median,arm_add_median,elbow_flex_median,All_median,camera_name,RTE (cm),pelvis_tilt_mean,pelvis_list_mean,pelvis_rotation_mean,hip_flexion_r_mean,hip_adduction_r_mean,hip_rotation_r_mean,knee_angle_r_mean,ankle_angle_r_mean,subtalar_angle_r_mean,hip_flexion_l_mean,hip_adduction_l_mean,hip_rotation_l_mean,knee_angle_l_mean,ankle_angle_l_mean,subtalar_angle_l_mean,lumbar_extension_mean,lumbar_bending_mean,lumbar_rotation_mean
7984,xmAis8zOpJWFeZHi,Control,3.3629609707580355,1.587634581346616,4.011481816202667,5.699515891900856,12.451861795947226,8.935101963417557,1.4357220376848785,2.5299706438132388,19.158322573928626,2.7263203382672887,8.059968744506337,2.595299613771888,1.503861981748819,3.809658181652885,3.533763909820532,21219799,9.607245095059849,2.2546837,1.3226221,1.2518542,3.9963152,1.7081493,4.310346,6.5530515,10.49818,3.9226756,3.2708938,1.5388876,4.2652917,7.1537027,13.229795,3.776168,8.962782,1.5943335,2.9176934
7985,xmAis8zOpJWFeZHi,Control,5.573415899405311,0.9338755531496424,1.3525023873612263,3.818760509963572,3.792398590140582,7.907294828587933,0.8340815982692822,1.2761402365623542,6.127286750584075,1.2873301199370055,1.3534680664937635,9.29100796566352,2.6366681913356325,3.741290195892098,2.806814001158788,21219799,8.912094247882083,1.0584775,0.8299455,2.2054749,5.231382,1.3694412,1.8079742,4.6958947,5.0756364,2.8626173,5.6086025,1.0209659,1.8335689,4.54692,3.633687,2.3619418,7.8989835,0.9833494,1.3560042
7986,xmAis8zOpJWFeZHi,Control,3.704641491654008,1.5883836515066452,3.773586469059537,5.42121687450206,11.666655845571864,10.282217053476865,1.332761691694114,2.3793469624881194,12.195418684729272,4.006431692770938,9.381770347467324,2.8943556312314294,1.2446109398314626,3.266285500243107,3.4943288514323325,21219799,11.00742382022956,2.837082,1.258197,1.5072544,4.837196,1.7777954,3.9628685,5.5675325,9.94201,4.3146796,3.8888984,1.5180575,4.0352974,7.0014477,13.039278,3.1720603,10.43223,1.4643494,2.9989436
7987,xmAis8zOpJWFeZHi,Control,6.484818881309613,3.359692774650185,1.9385446791166832,3.884292013442671,5.223034291352842,7.138464586028822,1.1100267754262012,1.5176834285894956,4.881916594533337,2.843144173529069,3.6510759196200766,2.5244931988263497,1.609417541864054,4.99038091773592,3.255646104780044,21219799,18.505678022638943,1.6286625,2.0849383,6.727646,8.245393,3.4078114,2.3351722,5.1939807,7.3914285,5.803393,9.1760235,3.4566376,2.4047015,4.8299313,5.104566,2.705263,9.349838,1.6410079,1.6957545
7988,xmAis8zOpJWFeZHi,Control,7.455381952432221,3.145744270777406,2.602902540063054,5.214078932695217,4.303501365122425,8.569255333207026,2.08115152526699,1.7007449174916534,7.555918465122499,2.5969630955870406,3.2198872401025387,4.0314561165082985,1.7677958042339694,4.949073610385875,3.5192609666914114,21219799,18.493372115988446,1.3361206,3.427812,14.667155,15.777816,3.3186634,2.7686987,5.7790513,5.8065047,6.7304726,16.666916,2.8850713,3.2782357,6.5373836,5.3155227,3.3036046,15.944313,2.213673,1.8671728
7989,xmAis8zOpJWFeZHi,Control,4.518238705427656,0.4481018609404951,1.200899935679061,1.8295507228670629,1.1341788520269225,6.342458110465224,0.8739798422544154,0.9101646362221832,14.81892926964779,0.7266506727694786,2.092115999245305,1.5715071366025994,1.126034809590648,1.8821449528475096,1.3799017827213076,21219799,0.4339684104565934,0.23915021,0.09027286,0.2377919,4.0840354,0.13020912,1.1397922,2.9621537,0.76368207,0.5966202,4.9279966,0.9070975,1.2504169,0.57888544,1.4295455,3.8798866,6.311097,0.8684523,0.9101091
7990,xmAis8zOpJWFeZHi,Control,4.803789050083099,0.4251763829616556,1.284519669999149,1.8135801895104853,1.273593097301979,6.869121174723787,0.9117227640856476,0.931160682163004,14.932508574184258,0.8549746440873522,3.434629907332857,1.716011955193537,1.205800928270142,2.141560686831685,1.5029093578069217,21219799,0.2428933466296057,0.22895816,0.0708484,0.14904332,4.4317293,0.06556041,1.397966,2.7559767,0.7908874,0.39290738,5.278542,0.9416957,1.1325141,0.30258924,1.7583997,3.9558797,6.9309444,0.88712156,0.92099184
7991,xmAis8zOpJWFeZHi,Control,5.061757808424799,0.5309657627370057,1.2913425907176566,2.243463295631951,1.0583720051970629,6.877169963690271,0.738006823142584,0.91472968664857,14.498009053293464,1.5710532967666964,1.5146618741593452,2.293835526700122,0.7592005490364274,2.8355953793216413,1.65241311592811,21219799,0.4753837762110384,0.17253393,0.07512438,0.20443211,4.6615686,0.08536077,1.5982105,2.6925795,0.64420474,0.5479042,5.6150746,0.9757532,0.9620573,0.314252,1.6222804,4.618122,6.8263836,0.72223794,0.8619121
7992,xmAis8zOpJWFeZHi,Control,5.614399374070609,0.4908333928890679,1.2875937330752152,1.4918416319258274,0.727127555316475,7.725881808413244,0.8236640188161907,0.4209878997713896,14.890295622900434,1.3556635098221004,0.9468876475198352,1.9577548515896084,1.4284221252110392,2.1160768104366974,1.3578719673305144,21219799,0.2709683976152597,0.24709028,0.09576108,0.16090314,5.183647,0.086004674,1.5739619,2.612827,0.44297898,0.19990511,6.0846505,1.0415022,1.1050093,0.26889095,1.0751182,4.74613,7.7053943,0.8180016,0.43202907
7993,xmAis8zOpJWFeZHi,Control,5.479587681314908,0.6879254104877502,1.2112819107441364,1.4995836445681527,1.4993360560987137,7.178541973910006,0.8878522942009556,0.8328963028158416,13.956762483901487,1.6327278259440747,0.7545097655138046,1.963047605065732,1.4022097701432454,2.38401553451262,1.5768716982799211,21219799,0.2652235946131796,0.2153264,0.06344892,0.12115961,4.966303,0.18091074,1.3240031,2.5430675,0.32430166,0.28665736,5.881741,1.1889927,1.0940752,0.37087622,2.5601995,3.3788412,7.1607823,0.88662857,0.8449318
